"","SYMBOL","ENTREZID"
"1","CA2","760"
"2","DDX6","1656"
"3","BCHE","590"
"4","CA1","759"
"5","PDE4B","5142"
"6","CDK2","1017"
"7","AMY1A","276"
"8","AMY1B","277"
"9","AMY1C","278"
"10","LCN2","3934"
"11","CFB","629"
"12","PAH","5053"
"13","BACE1","23621"
"14","ME2","4200"
"15","PIM1","5292"
"16","PNP","4860"
"17","ANG","283"
"18","PDE4D","5144"
"19","NOS3","4846"
"20","BCAT2","587"
"21","MMP8","4317"
"22","ISG20","3669"
"23","CHEK1","1111"
"24","IMPA1","3612"
"25","KIF5B","3799"
"26","HSP90AA1","3320"
"27","CTSK","1513"
"28","GALK1","2584"
"29","CCNA2","890"
"30","HK1","3098"
"31","CBR1","873"
"32","AMY2A","279"
"33","OTC","5009"
"34","CPB1","1360"
"35","DPP4","1803"
"36","MAPK8","5599"
"37","RNASE4","6038"
"38","F2","2147"
"39","TNK2","10188"
"40","IMPDH2","3615"
"41","MAPK14","1432"
"42","DCK","1633"
"43","RHOA","387"
"44","CDK6","1021"
"45","SOD2","6648"
"46","PTPN1","5770"
"47","AHCY","191"
"48","CDA","978"
"49","GSK3B","2932"
"50","HSPA8","3312"
"51","DHFR","1719"
"52","PYGL","5836"
"53","APCS","325"
"54","PNPO","55163"
"55","PLAU","5328"
"56","B3GAT1","27087"
"57","NR3C2","4306"
"58","ATOX1","475"
"59","EPHB4","2050"
"60","SRC","6714"
"61","MMP7","4316"
"62","CA12","771"
"63","GSTP1","2950"
"64","PPIA","5478"
"65","PGR","5241"
"66","NR1H2","7376"
"67","TGFBR2","7048"
"68","CTSD","1509"
"69","MTAP","4507"
"70","HCK","3055"
"71","RTN4R","65078"
"72","AKR1B1","231"
"73","FCAR","2204"
"74","QPCT","25797"
"75","PDPK1","5170"
"76","HSD17B11","51170"
"77","CMA1","1215"
"78","CTSB","1508"
"79","CTSS","1520"
"80","AZGP1","563"
"81","AKT1","207"
"82","IGLV2-8","28817"
"83","MMP3","4314"
"84","PLA2G10","8399"
"85","ESR1","2099"
"86","ST14","6768"
"87","AR","367"
"88","FAP","2191"
"89","CFD","1675"
"90","CASP3","836"
"91","MAPK1","5594"
"92","TREM1","54210"
"93","MIF","4282"
"94","TGFBR1","7046"
"95","EGFR","1956"
"96","KDR","3791"
"97","ESRRG","2104"
"98","FGFR1","2260"
"99","FKBP1A","2280"
"100","SULT2A1","6822"
"101","NQO2","4835"
